"","de","en","es","fr","it","pt","ru","es-MX","pt-PT"
"W1L03-1.11","","but I have to tell you something","","","","","","","",
"W1L03-1.12","","I feel safe with you","","","","","","","",
"W1L03-1.13","","just saving girls","","","","","","","",
"W1L03-1.14","","and solving mysteries","","","","","","","",
"W1L03-1.15","","Like an 80's buddy cop movie","","","","","","","",
"W1L03-1.16","","you see, I know about pop culture!","","","","","","","",
"W1L03-1.17","","RUUUUN!","","","","","","","",
"W1L03-1.18","","careful here","","","","","","","",
"W1L03-1.19","","after all","","","","","","","",
"W1L03-1.20","","I'm the one in danger","","","","","","","",
"W1L03-1.21","","She's close","","","","","","","",
"W1L03-1.22","","I hear her","","","","","","","",
"W1L03-1.23","","!","","","","","","","",
"W1L03-1.24","","LEAP OF FAITH","","","","","","","",
"W1L03-2.01","","She'll probably be
in the next door","","","","","","","",
"W1L03-2.02","","This is the part that
is not shown in films","","","","","","","",
"W1L03-2.03","","Where the prince
needs to travel TO SAVE THE GIRL","","","","","","","",
"W1L03-2.04","","if we were
in a film","","","","","","","",
"W1L03-2.05","","this part would
be a montage","","","","","","","",
"W1L03-2.06","","By the way...","","","","","","","",
"W1L03-2.07","","I can't go back","","","","","","","",
"W1L03-2.08","","The doors where
I come from
are closed","","","","","","","",
"W1L03-2.09","","there's a
metaphor in that","","","","","","","",
"W1L03-2.10","","uh... secret","","","","","","","",
"W1L03-2.11","","I'm not good
with metaphors","","","","","","","",
"W1L03-2.12","","But anyways
life is not a metaphor","","","","","","","",
"W1L03-2.13","","is that a metaphor
in itself?","","","","","","","",
"W1L03-2.14","","sorry, I got distracted... the girl, right","","","","","","","",
"W1L03-2.15","","!","","","","","","","",
"W1L03-2.16","","She's in the next room","","","","","","","",
"W1L03-2.17","","Isn't the ladder thing obvious?","","","","","","","",
"W1L03-2.18","","C'mon prompt guy
You're better than this","","","","","","","",
"W1L03-3.01","","Maybe she's just depressed","","","","","","","",
"W1L03-3.02","","!","","","","","","","",
"W1L03-3.03","","She's in this room","","","","","","","",
"W1L03-3.04","","She's not alone","","","","","","","",
"W1L03-3.05","","wait for us!","","","","","","","",
"W1L03-3.06","","We're coming
to save you!","","","","","","","",
"W1L03-3.07","","This is taking forever","","","","","","","",
"W1L03-3.08","","Hurry!","","","","","","","",
"W1L03-3.09","","These things are
delaying us","","","","","","","",
"W1L03-3.10","","We are here
to rescue you","","","","","","","",
"W1L03-3.11","","Don't worry!!!","","","","","","","",
"W1L03-3.12","","....","","","","","","","",
"W1L03-3.13","","This is not cool","","","","","","","",
"W1L03-3.14","","They are playing with us","","","","","","","",
"W1L03-3.15","","These guys are psychos","","","","","","","",
"W1L03-3.16","","For them
this is just a twisted game","","","","","","","",
"W1L03-3.17","","They will pay for this","","","","","","","",
"W1L03-3.18","","TEXT","","","","","","","",
"W1L04-1.01","","The best way to be
a good team is...","","","","","","","",
"W1L04-1.02","","...knowing each other","","","","","","","",
"W1L04-1.03","","I'm lefty and...","","","","","","","",
"W1L04-1.04","","Wow. rumble...
IF I'm out of frame
I die","","","","","","","",
"W1L04-1.05","","HEY!","","","","","","","",
"W1L04-1.06","","COME HERE!","","","","","","","",
"W1L04-1.07","","don’t move the camera
!!!","","","","","","","",
"W1L04-1.08","","I have to be on frame...","","","","","","","",
"W1L04-1.09","","...to be alive!","","","","","","","",
"W1L04-1.10","","There's no world...","","","","","","","",
"W1L04-1.11","","...beyond the camera","","","","","","","",
"W1L04-1.12","","UFFF","","","","","","","",
"W1L04-1.13","","HURRY!","","","","","","","",
"W1L04-1.14","","The camera is leaving me behind","","","","","","","",
"W1L04-1.15","","I guess that...","","","","","","","",
"W1L04-1.16","","you don't have","","","","","","","",
"W1L04-1.17","","as much control","","","","","","","",
"W1L04-1.18","","as you thought","","","","","","","",
"W1L04-1.19","","Uff. I'm a marathon man","","","","","","","",
"W1L04-2.01","","It looks like we are safe","","","","","","","",
"W1L04-2.02","","Not again","","","","","","","",
"W1L04-2.03","","UPWARDS THIS TIME","","","","","","","",
"W1L04-2.04","","I have to tell you","","","","","","","",
"W1L04-2.05","","I suffer from Vertigo","","","","","","","",
"W1L04-2.06","","I can't even
look down...","","","","","","","",
"W1L04-2.07","","That's how scared I am...","","","","","","","",
"W1L04-2.08","","I'm having nausea","","","","","","","",
"W1L04-2.09","","and stomach ache","","","","","","","",
"W1L04-2.10","","don't think that is easy","","","","","","","",
"W1L04-2.11","","all this jumping","","","","","","","",
"W1L04-2.12","","shakes my stomach","","","","","","","",
"W1L04-2.13","","NEXT!","","","","","","","",
"W1L04-3.01","","Let me guess...","","","","","","","",
"W1L04-3.02","","I thought so...","","","","","","","",
"W1L04-3.03","","IT LACKS THE IMPACT OF THE FIRST TIME","","","","","","","",
"W1L04-3.04","","the fear is the same","","","","","","","",
"W1L04-3.05","","But this time we're prepared","","","","","","","",
"W1L04-3.06","","fool me once, shame on you","","","","","","","",
"W1L04-3.07","","fool me twice, shame on me","","","","","","","",
"W1L04-3.08","","we're improving
as a team","","","","","","","",
"W1L04-3.09","","Let's dig","","","","","","","",
"W1L04-3.10","","FOR OUR
FREEDOM!","","","","","","","",
"W1L04-3.11","","sorry...","","","","","","","",
"W1L04-3.12","","... that was too dramatic","","","","","","","",
"W1L04-3.13","","I can see the door","","","","","","","",
"W1L04-3.14","","Inside!","","","","","","","",
"W1L05-1.01","","No more camera movements","","","","","","","",
"W1L05-1.02","","THESE TREADMILLS...","","","","","","","",
"W1L05-1.03","","I NEED A WORKOUT","","","","","","","",
"W1L05-1.04","","I have to be
in shape for the ladies","","","","","","","",
"W1L05-1.05","","…AND FOR THE DANGER","","","","","","","",
"W1L05-1.06","","Priorities Klaus","","","","","","","",
"W1L05-1.07","","THIS IS A KIND OF ASSEMBLY FACTORY","","","","","","","",
"W1L05-1.08","","THERE WERE BOXES
BEFORE","","","","","","","",
"W1L05-1.09","","Now they have heavy machinery","","","","","","","",
"W1L05-1.10","","THESE GUYS ARE BUILDING SOMETHING","","","","","","","",
"W1L05-1.11","","let's not forget about
the woman crying","","","","","","","",
"W1L05-1.12","","that was creepy","","","","","","","",
"W1L05-1.13","","We also have some footsteps","","","","","","","",
"W1L05-1.14","","and a camera moving","","","","","","","",
"W1L05-1.15","","we need a new clue","","","","","","","",
"W1L05-1.16","","we need...","","","","","","","",
"W1L05-1.17","","??!","","","","","","","",
"W1L05-1.18","","Somebody is trying to stop us!!","","","","","","","",
"W1L05-1.19","","Was that human?","","","","","","","",
"W1L05-2.01","","Somebody is watching us","","","","","","","",
"W1L05-2.02","","??!","","","","","","","",
"W1L05-2.03","","that was discouraging","","","","","","","",
"W1L05-2.04","","CAREFUL","","","","","","","",
"W1L05-2.05","","I KNOW THAT IT MIGHT SEEM OBVIOUS","","","","","","","",
"W1L05-2.06","","But I'm the one risking my life","","","","","","","",
"W1L05-2.07","","Those guys must
want us out of this","","","","","","","",
"W1L05-2.08","","We'll not let him","","","","","","","",
"W1L05-2.09","","Why're we going
in this direction again?","","","","","","","",
"W1L05-2.10","","Can I be open with you?","","","","","","","",
"W1L05-2.11","","I'm scared","","","","","","","",
"W1L05-2.12","","but we're in this
together, right?","","","","","","","",
"W1L05-2.13","","Tricky key","","","","","","","",
"W1L05-2.14","","unlocked","","","","","","","",
"W1L05-2.15","","How can I always find the door?","","","","","","","",
"W1L05-2.16","","We're so lucky in that","","","","","","","",
"W1L05-2.17","","There's no dead end","","","","","","","",
"W1L05-2.18","","This guy will know about us","","","","","","","",
"W1L05-2.19","","You will see","","","","","","","",
"W1L05-2.20","","You have a good eye!","","","","","","","",
"W1L05-2.21","","Right, getting out of here
and discover the truth","","","","","","","",
"W1L05-2.22","","That can't wait, right?","","","","","","","",
"W1L05-2.23","","I thought so","","","","","","","",
"W1L05-3.01","","We're going down","","","","","","","",
"W1L05-3.02","","I mean, we're literally
underground","","","","","","","",
"W1L05-3.03","","Maybe the footsteps
are another tape","","","","","","","",
"W1L05-3.04","","yeah. Probably it's fake and we're worrying for nothing","","","","","","","",
"W1L05-3.05","","!!","","","","","","","",
"W1L05-3.06","","Is it mocking us?","","","","","","","",
"W1L06-1.01","","That was a horrible sound","","","","","","","",
"W1L06-1.02","","!!","","","","","","","",
"W1L06-1.03","","So we're not fighting a man","","","","","","","",
"W1L06-1.04","","we're fighting a beast","","","","","","","",
"W1L06-1.05","","\\"We\\" it's a big word
I'm doing all the work","","","","","","","",
"W1L06-1.06","","C'mon, let's go","","","","","","","",
"W1L06-1.07","","It's big","","","","","","","",
"W1L06-1.08","","I mean, for me","","","","","","","",
"W1L06-1.09","","At least you have your superpowers
to change the world","","","","","","","",
"W1L06-1.10","","I feel LIKE I'M MOVING WITHOUT WILL","","","","","","","",
"W1L06-1.11","","But this isn't bad","","","","","","","",
"W1L06-1.12","","I just have to
reach the next door
and that's it","","","","","","","",
"W1L06-1.13","","The big boss
makes the decisions","","","","","","","",
"W1L06-1.14","","or was it a snake?","","","","","","","",
"W1L06-1.15","","That shadow was
so colossal","","","","","","","",
"W1L06-1.16","","You get it?","","","","","","","",
"W1L06-1.17","","that we have each other","","","","","","","",
"W1L06-1.18","","Anyways, the fact is","","","","","","","",
"W1L06-1.19","","we're a team","","","","","","","",
"W1L06-1.20","","IT'S THERE!","","","","","","","",
"W1L06-1.21","","We got it","","","","","","","",
"W1L06-1.22","","It's gone!","","","","","","","",
"W1L06-1.23","","Where could it be?","","","","","","","",
"W1L06-2.01","","One step closer to the truth","","","","","","","",
"W1L06-2.02","","WOOOOOW!","","","","","","","",
"W1L06-2.03","","This is like a rollercoaster","","","","","","","",
"W1L06-2.04","","With the exception that...","","","","","","","",
"W1L06-2.05","","If I fall. Something will kill me","","","","","","","",
"W1L06-2.06","","!!","","","","","","","",
"W1L06-2.07","","This guy continues","","","","","","","",
"W1L06-2.08","","This seems like his kingdom","","","","","","","",
"W1L06-2.09","","He knows how to move in here","","","","","","","",
"W1L06-2.10","","this is going
to hurt","","","","","","","",
"W1L06-2.11","","Almost there","","","","","","","",
"W1L06-2.12","","That was
close!","","","","","","","",
"W1L06-2.13","","He's not going to escape
from us","","","","","","","",
"W1L06-3.01","","Precaution","","","","","","","",
"W1L06-3.02","","!!","","","","","","","",
"W1L06-3.020","","I'm ready!","","","","","","","",
"W1L06-3.03","","This is his kingdom","","","","","","","",
"W1L06-3.04","","He'll not be pleased","","","","","","","",
"W1L06-3.05","","if he catches us","","","","","","","",
"W1L06-3.06","","We have to play it smart","","","","","","","",
"W1L06-3.07","","gotcha!","","","","","","","",
"W1L06-3.08","","I'm allergic to death","","","","","","","",
"W1L06-3.09","","How does this guy live in this dump?","","","","","","","",
"W1L06-3.10","","you might not know","","","","","","","",
"W1L06-3.11","","but the smell is horrible","","","","","","","",
"W1L06-3.12","","I SEE HIM!!","","","","","","","",
"W1L06-3.13","","This guy continues","","","","","","","",
"W1L06-3.14","","HEY, YOU!","","","","","","","",
"W1L06-3.15","","Don't move","","","","","","","",
"W1L06-3.16","","Wait!","","","","","","","",
"W1L06-3.17","","C'mon he's escaping!","","","","","","","",
"W1L06-3.18","","WE HAVE HIM!","","","","","","","",
"W2L01-1.01","","He's here!","","","","","","","",
"W2L01-1.02","","Let's get him!","","","","","","","",
"W2L01-1.03","","we must be cautious","","","","","","","",
"W2L01-1.04","","HEY, you!","","","","","","","",
"W2L01-1.05","","who're you?","","","","","","","",
"W2L01-1.06","","So, now he's part of the team?","","","","","","","",
"W2L01-1.07","","PRO TIP: You can move us at the same time","","","","","","","",
"W2L01-1.08","","we shouldn't trust
him","","","","","","","",
"W2L01-1.09","","Look at him!","","","","","","","",
"W2L01-1.10","","He's just laughing and saying K1 all the time","","","","","","","",
"W2L01-1.11","","ok, that was cool","","","","","","","",
"W2L01-1.12","","maybe he's useful after all.","","","","","","","",
"W2L01-1.13","","up+punch?","","","","","","","",
"W2L01-1.14","","Impressive","","","","","","","",
"W2L01-1.15","","why is he so happy?","","","","","","","",
"W2L01-1.16","","K1 doesn't seem violent","","","","","","","",
"W2L01-1.17","","It looks like K1 wasn't trying to harm us","","","","","","","",
"W2L01-1.18","","he was just playing with us","","","","","","","",
"W2L01-1.19","","sure you're ken?","","","","","","","",
"W2L01-1.20","","Now we have to wait for k1 to continue?","","","","","","","",
"W2L01-1.21","","You're asking too much","","","","","","","",
"W2L01-1.22","","SDJLKJDS 
fafsdfsdfsd","","","","","","","",
"W2L01-1.23","","K1!","","","","","","","",
"W2L01-1.24","","K1 HA!","","","","","","","",
"W2L01-1.25","","K1 HAHAHA!","","","","","","","",
"W2L01-1.26","","BOOOM","","","","","","","",
"W2L01-1.27","","SMASH!","","","","","","","",
"W2L01-1.28","","You can't trust a shirtless guy","","","","","","","",
"W2L01-1.29","","Well, with his 
twisted definition of \"Playing\"","","","","","","","",
"W2L01-1.30","","He's not the smartest one","","","","","","","",
"W2L01-2.01","","K1 just mumbles words!","","","","","","","",
"W2L01-2.02","","Now we're not alone...","","","","","","","",
"W2L01-2.03","","but this is absurd
I can't communicate with this guy","","","","","","","",
"W2L01-2.04","","it seems so far...","","","","","","","",
"W2L01-2.05","","I feel dizzy","","","","","","","",
"W2L01-2.06","","that was a close one","","","","","","","",
"W2L01-2.07","","Go there big boy","","","","","","","",
"W2L01-2.08","","K1 is really versatile","","","","","","","",
"W2L01-2.09","","but sometimes he just delays us","","","","","","","",
"W2L01-2.10","","Throw me there, big boy
I can jump in the air","","","","","","","",
"W2L01-2.11","","how long has K1 been here?","","","","","","","",
"W2L01-2.12","","K1 HUHUHU!","","","","","","","",
"W2L01-2.13","","HAHA!","","","","","","","",
"W2L01-2.14","","K1 crush!","","","","","","","",
"W2L01-2.15","","HAHA!","","","","","","","",
"W2L01-2.16","","HUUUIIIIII!","","","","","","","",
"W2L01-2.17","","I bet that 
K1 can crush that yellow one","","","","","","","",
"W2L01-2.18","","JUMPING!!","","","","","","","",
"W2L01-2.19","","K1 loves
floating","","","","","","","",
"W2L01-2.20","","K1 ARRIVING!","","","","","","","",
"W2L01-2.21","","JUST LOOK AT HIM!","","","","","","","",
"W2L01-2.22","","The question is...","","","","","","","",
"W2L01-3.01","","K1, stop following us!","","","","","","","",
"W2L01-3.02","","FUN!","","","","","","","",
"W2L01-3.03","","Wait, what's that?","","","","","","","",
"W2L01-3.04","","Why does he have to say the obvious?","","","","","","","",
"W2L01-3.05","","if he goes to the restroom","","","","","","","",
"W2L01-3.06","","is he going to say \"K1 DUMPS\"?","","","","","","","",
"W2L01-3.07","","hehe, I'm so funny...","","","","","","","",
"W2L01-3.08","","So naive","","","","","","","",
"W2L01-3.09","","NEXT!","","","","","","","",
"W2L01-3.10","","BUM!","","","","","","","",
"W2L01-3.11","","BUM! BUM!","","","","","","","",
"W2L01-3.12","","BREAKING!","","","","","","","",
"W2L01-3.13","","RUUUUUUUUUUN!!","","","","","","","",
"W2L01-3.14","","WAIT!","","","","","","","",
"W2L01-3.15","","that yellow thing...","","","","","","","",
"W2L01-3.16","","it was like a piece of fabric","","","","","","","",
"W2L02-1.01","","Green is the new red","","","","","","","",
"W2L02-1.02","","I can get used to this","","","","","","","",
"W2L02-1.03","","Like if my stomach is not
shaking enough","","","","","","","",
"W2L02-1.04","","we meet again Big Guy","","","","","","","",
"W2L02-1.05","","Done! Let's move","","","","","","","",
"W2L02-1.06","","have you seen 
K1's left arm?","","","","","","","",
"W2L02-1.07","","He has \"K1\" inverted","","","","","","","",
"W2L02-1.08","","how convenient","","","","","","","",
"W2L02-1.09","","next!","","","","","","","",
"W2L02-1.10","","K1 RUNS!","","","","","","","",
"W2L02-1.11","","K1 to the
ground","","","","","","","",
"W2L02-1.12","","AAAAAHHHHH","","","","","","","",
"W2L02-1.13","","UHHHHHHHHH","","","","","","","",
"W2L02-1.14","","WIII!!!","","","","","","","",
"W2L02-2.01","","This guy is so naive","","","","","","","",
"W2L02-2.02","","and a brute","","","","","","","",
"W2L02-2.03","","and immature","","","","","","","",
"W2L02-2.04","","...and useful","","","","","","","",
"W2L02-2.05","","Yeah, I mean... fans are fun...","","","","","","","",
"W2L02-2.06","","...I guess","","","","","","","",
"W2L02-2.07","","Ok, Ok, I got it","","","","","","","",
"W2L02-2.08","","BTW, You don't have a name","","","","","","","",
"W2L02-2.09","","I'll call you \"Player\"
If you don't mind","","","","","","","",
"W2L02-2.10","","I don't say this in front of K1","","","","","","","",
"W2L02-2.11","","but in some way...","","","","","","","",
"W2L02-2.12","","I envy K1","","","","","","","",
"W2L02-2.13","","it'd be so great
to not ask questions like I do","","","","","","","",
"W2L02-2.14","","No responsabilities and that's it","","","","","","","",
"W2L02-2.15","","Just being guided by the player","","","","","","","",
"W2L02-2.16","","living without
The Unbearable Lightness of Being ","","","","","","","",
"W2L02-2.17","","Let's go","","","","","","","",
"W2L02-2.18","","\"K1\" I have something
 to ask you","","","","","","","",
"W2L02-2.19","","UFFF!","","","","","","","",
"W2L02-2.20","","FUN!","","","","","","","",
"W2L02-2.21","","K1 
says HI","","","","","","","",
"W2L02-2.22","","YEA, U!","","","","","","","",
"W2L02-2.23","","K1 likes the little guy","","","","","","","",
"W2L02-2.24","","and don't know 
anything","","","","","","","",
"W2L02-2.25","","BUT he's to 
stressed","","","","","","","",
"W2L02-2.26","","he doesn't 
know...","","","","","","","",
"W2L02-2.27","","what is being
too many years 
in the same place","","","","","","","",
"W2L02-2.28","","FREEEE!!!","","","","","","","",
"W2L02-3.01","","KLAUS, shut up","","","","","","","",
"W2L02-3.02","","WHAT? I can't hear him
did K1 say something?","","","","","","","",
"W2L02-3.03","","Let's try 
something","","","","","","","",
"W2L02-3.04","","...K1, say \"KLAUS\"","","","","","","","",
"W2L02-3.05","","KRAFT","","","","","","","",
"W2L02-3.06","","you see? K1 can't speak","","","","","","","",
"W2L03-1.01","","Let's Move on!","","","","","","","",
"W2L03-1.02","","Wow, this is cool
","","","","","","","",
"W2L03-1.03","","I feel the air
everywhere...","","","","","","","",
"W2L03-1.04","","... If you know what I mean","","","","","","","",
"W2L03-1.05","","K1 is useful, I know why you're still with him","","","","","","","",
"W2L03-1.06","","After a point we should leave K1","","","","","","","",
"W2L03-1.07","","nobody will
notice it","","","","","","","",
"W2L03-1.08","","we are more than 
enough for this job","","","","","","","",
"W2L03-1.09","","Where are they going?","","","","","","","",
"W2L03-1.10","","Let's find out!","","","","","","","",
"W2L03-1.11","","K1 doesn't ask anything to himself","","","","","","","",
"W2L03-1.12","","so predictible and brutish","","","","","","","",
"W2L03-1.13","","it's time to split","","","","","","","",
"W2L03-1.14","","Now I see why you're keeping him","","","","","","","",
"W2L03-1.15","","you're using him","","","","","","","",
"W2L03-1.16","","it's fine...","","","","","","","",
"W2L03-1.17","","we'll get rid of K1 later","","","","","","","",
"W2L03-1.18","","K1 has no existential problems at all","","","","","","","",
"W2L03-1.19","","Do you think that is because....","","","","","","","",
"W2L03-1.20","","Because he knows who he is?","","","","","","","",
"W2L03-1.21","","something is for sure...","","","","","","","",
"W2L03-1.22","","i'm not planning to 
stay here as long as K1 did","","","","","","","",
"W2L03-1.23","","K1 FLIES!","","","","","","","",
"W2L03-1.24","","hahaha","","","","","","","",
"W2L03-1.25","","BOUNCY BOUNCY!!!","","","","","","","",
"W2L03-1.26","","FUUUUUUUUUUUUUN!","","","","","","","",
"W2L03-1.27","","K1 ON DUTY!","","","","","","","",
"W2L03-1.28","","Klaus SHOULD RELAX","","","","","","","",
"W2L03-1.29","","Klaus is lucky","","","","","","","",
"W2L03-1.30","","Klaus HAS 
NOT had to live","","","","","","","",
"W2L03-1.31","","alone","","","","","","","",
"W2L03-1.32","","Look at these metal boxes","","","","","","","",
"W2L03-1.33","","These boxes again...","","","","","","","",
"W2L03-1.34","","Maybe K1 is insane because of the imprisonment ","","","","","","","",
"W2L03-1.35","","Klaus
has you","","","","","","","",
"W2L03-1.36","","and now
I have you!","","","","","","","",
"W2L03-1.37","","we have 
each other","","","","","","","",
"W2L03-2.01","","Look, a shirt!","","","","","","","",
"W2L03-2.02","","What's it doing there?","","","","","","","",
"W2L03-2.03","","Maybe its
in the boxes","","","","","","","",
"W2L03-2.04","","Same shirt 
as mine","","","","","","","",
"W2L03-2.05","","So I'm not the first","","","","","","","",
"W2L03-2.06","","I thought
I was unique","","","","","","","",
"W2L03-2.07","","Somebody
didn't do 
his laundry today","","","","","","","",
"W2L03-2.08","","Let's get more clues!","","","","","","","",
"W2L03-3.01","","Let's find the box","","","","","","","",
"W2L03-3.02","","Acid pipes!","","","","","","","",
"W2L03-3.03","","Sorry big boy
This is a job for Klaus","","","","","","","",
"W2L03-3.04","","So they have my shirts hanging around","","","","","","","",
"W2L03-3.05","","Do you think they can do my laundry?","","","","","","","",
"W2L03-3.06","","There it is!","","","","","","","",
"W2L03-3.07","","it was a
bunch of shirts and ties","","","","","","","",
"W2L03-3.08","","One less","","","","","","","",
"W2L03-3.09","","K1 CRUUSHH","","","","","","","",
"W2L03-3.10","","K1 LIKES Klaus","","","","","","","",
"W2L03-3.11","","\"K1\", Klaus
AND PLAYER","","","","","","","",
"W2L03-3.12","","GOOD TEAM","","","","","","","",
"W2L03-3.13","","\"K1\" COULDN'T 
PASS this before","","","","","","","",
"W2L03-3.14","","\"K1\" needs
YOU","","","","","","","",
"W2L03-3.15","","\"K1\"
is happy","","","","","","","",
"W2L03-3.16","","I'm allergic to death, so be careful","","","","","","","",
"W2L03-3.17","","Look, another one
it also has my shirts","","","","","","","",
"W2L03-3.18","","BECAUSE \"K1\" is having 
crazy adventures","","","","","","","",
"W2L04-1.01","","Follow me big guy","","","","","","","",
"W2L04-1.02","","Sayonara bye bye","","","","","","","",
"W2L04-1.03","","Finally, alone again","","","","","","","",
"W2L04-1.04","","We have more
clues now","","","","","","","",
"W2L04-1.05","","I worked here
for sure","","","","","","","",
"W2L04-1.06","","Look, a tie","","","","","","","",
"W2L04-1.07","","They seem
to resist acid","","","","","","","",
"W2L04-1.08","","This means that
I have superclothes","","","","","","","",
"W2L04-1.09","","As I said before
\"Somebody call the manager of this place\"
look at that tie","","","","","","","",
"W2L04-1.10","","Hey, but you started with me as well","","","","","","","",
"W2L04-1.11","","Do you remember anything?","","","","","","","",
"W2L04-1.12","","Right, silent guy","","","","","","","",
"W2L04-1.13","","You can be more cooperative","","","","","","","",
"W2L04-1.14","","Everything seems so random","","","","","","","",
"W2L04-1.15","","But so perfect at the same time","","","","","","","",
"W2L04-1.16","","This place stinks!","","","","","","","",
"W2L04-1.17","","I hate this industrial
smell of garbage","","","","","","","",
"W2L04-1.18","","Let's move fast,","","","","","","","",
"W2L04-1.19","","the fragrance of garbage
and dirty clothes is killing me","","","","","","","",
"W2L04-1.20","","UP!","","","","","","","",
"W2L04-1.21","","\"K1 ENJOYS
ADVENTURES\"","","","","","","","",
"W2L04-1.22","","KLAUS IS GOOD","","","","","","","",
"W2L04-1.23","","\"K1\" Is worried for Klaus","","","","","","","",
"W2L04-1.24","","KLAUS is too impatient","","","","","","","",
"W2L04-1.25","","KLAUS wants it all fast","","","","","","","",
"W2L04-1.26","","\"K1\" prefers to play with Klaus than talk with him","","","","","","","",
"W2L04-1.27","","THIS PLACE
STINKS...","","","","","","","",
"W2L04-1.28","","...It feels like
K1 is home
haha!","","","","","","","",
"W2L05-1.01","","What a dump","","","","","","","",
"W2L05-1.02","","Acid, clothes and a dumpster","","","","","","","",
"W2L05-1.03","","How's that connected?","","","","","","","",
"W2L05-1.04","","My Turn","","","","","","","",
"W2L05-1.05","","So, if I'm an employee here...","","","","","","","",
"W2L05-1.06","","... who're you?","","","","","","","",
"W2L05-1.07","","it looks like, K1 and me have to separate on the next door","","","","","","","",
"W2L05-1.08","","Finally, just you and me again...","","","","","","","",
"W2L05-1.09","","...??!","","","","","","","",
"W2L05-1.10","","we can't end up like him","","","","","","","",
"W2L05-1.11","","we just can't!!","","","","","","","",
"W2L05-1.12","","CRUSH!","","","","","","","",
"W2L05-1.13","","\"K1\" HELPS KLAUS","","","","","","","",
"W2L05-1.14","","BYE KLAUS!","","","","","","","",
"W2L05-2.01","","We have to get out of here more than ever","","","","","","","",
"W2L05-2.02","","We can't end up like that guy","","","","","","","",
"W2L05-2.03","","if YOU work here as well","","","","","","","",
"W2L05-2.04","","you might be in danger too","","","","","","","",
"W2L05-2.05","","Activated","","","","","","","",
"W2L05-2.06","","let's goooooooooooooooooooooooooo!!!!!!!!!!!!!!!!!!!!!!!!!!","","","","","","","",
"W2L05-2.07","","We have to be together","","","","","","","",
"W2L05-2.08","","Even with K1","","","","","","","",
"W2L05-2.09","","I never thought that I would say that","","","","","","","",
"W2L05-2.10","","But its the only way to survive","","","","","","","",
"W2L05-2.11","","I hope that the big guy is fine","","","","","","","",
"W2L05-2.12","","K1 knows how to defend himself, but still...","","","","","","","",
"W2L05-2.13","","Just the smell of the image with that other guy...","","","","","","","",
"W2L05-2.14","","I was about to puke...","","","","","","","",
"W2L05-2.15","","This building is rotten","","","","","","","",
"W2L05-2.16","","That doesn't sound good","","","","","","","",
"W2L05-2.17","","This can't be our graveyard","","","","","","","",
"W2L05-2.18","","What department would you be in?","","","","","","","",
"W2L05-2.19","","I.T?  Marketing? Or do you do the Culling?","","","","","","","",
"W2L05-2.20","","Nah, you're not one of them...","","","","","","","",
"W2L05-2.21","","...are you?","","","","","","","",
"W2L05-3.01","","K1 and player together!!","","","","","","","",
"W2L05-3.02","","HAHAHA! NOW PLAYER AND K1 CAN KNOW EACH OTHER","","","","","","","",
"W2L05-3.03","","I love sushi and...","","","","","","","",
"W2L05-3.04","","YES! CHALLENGE ACCEPTED","","","","","","","",
"W2L05-3.05","","BUNCH OF GARBAGE","","","","","","","",
"W2L05-3.06","","HAHAHA! K1 DID IT!","","","","","","","",
"W2L06-1.01","","K1 you're alive!...","","","","","","","",
"W2L06-1.02","","I mean...","","","","","","","",
"W2L06-1.03","","Why did it take you so long?","","","","","","","",
"W2L06-1.04","","I missed that guy","","","","","","","",
"W2L06-1.05","","Thanks!","","","","","","","",
"W2L06-1.06","","am I thanking K1?","","","","","","","",
"W2L06-1.07","","sometimes
I don't recognize myself","","","","","","","",
"W2L06-1.08","","Anyways
I don't know who I am?","","","","","","","",
"W2L06-1.09","","K1 is awesome","","","","","","","",
"W2L06-1.10","","Easy cheesy","","","","","","","",
"W2L06-1.11","","Let's get out of here","","","","","","","",
"W2L06-1.12","","UH?","","","","","","","",
"W2L06-1.13","","HAHAHA!","","","","","","","",
"W2L06-1.14","","WHOOSH!","","","","","","","",
"W2L06-1.15","","GOOD!","","","","","","","",
"W2L06-1.16","","PUM PUM PUM","","","","","","","",
"W2L06-1.17","","SMASH SMASH SMASH","","","","","","","",
"W2L06-1.18","","TEAMWORK!","","","","","","","",
"W2L06-2.01","","Ok, everything seems normal","","","","","","","",
"W2L06-2.02","","WIIII!","","","","","","","",
"W2L06-2.03","","NOT RIGHT NOW!","","","","","","","",
"W2L06-2.04","","We have to be strong and be together","","","","","","","",
"W2L06-2.05","","One by one!","","","","","","","",
"W2L06-2.06","","Fast K1!","","","","","","","",
"W2L06-2.07","","We have to survive","","","","","","","",
"W2L06-2.08","","Beautifully done!","","","","","","","",
"W2L06-2.09","","Nothing can stop us!","","","","","","","",
"W2L06-2.10","","YES! I love this team","","","","","","","",
"W2L06-2.11","","FAST!   FAST!","","","","","","","",
"W2L06-2.12","","BOOM!","","","","","","","",
"W2L06-3.01","","wait.. 
I start to remember
","","","","","","","",
"W2L06-3.02","","and I'm just another Klaus","","","","","","","",
"W2L06-3.03","","sorry, you can't pass","","","","","","","",
"W2L06-3.04","","
we're getting 
closer to the truth","","","","","","","",
"W2L06-3.05","","It's getting
clear","","","","","","","",
"W2L06-3.06","","Now I remember          You are 
from Quality assurance
","","","","","","","",
"W2L06-3.07","","???","","","","","","","",
